*PCF-ID,Description of LCA stage,Scope-characterization of LCA stage,*Assigned value chain portion,Emissions at stage (kg CO2e),*Emissions at this stage are exclusively transport,*Emissions at this stage are exclusively EndOfLife
20822-1-2014,End of life/Final disposal,Scope 3,Downstream,13,No,Yes
20822-1-2015,Packaging,"Scope 1, 2, & 3",Upstream,21,No,No
20822-1-2015,Other: Manufacturing of Printer,Scope 1 & 2,Operations,279,No,No
20822-1-2015,Other: Manufacturing of Customer Replacement Unit,Scope 1 & 2,Operations,114,No,No
20822-1-2015,Consumer use,Scope 3,Downstream,157,No,No
20822-1-2015,End of life/Final disposal,Scope 3,Downstream,13,No,Yes
20822-1-2016,Packaging,"Scope 1, 2, & 3",Upstream,21,No,No
20822-1-2016,Other: Manufacturing of Printer,Scope 1 & 2,Operations,279,No,No
20822-1-2016,Other: Manufacturing of Customer Replacement Unit,Scope 1 & 2,Operations,114,No,No
20822-1-2016,Consumer use,Scope 3,Downstream,157,No,No
20822-1-2016,End of life/Final disposal,Scope 3,Downstream,13,No,Yes
20822-2-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,40,No,No
20822-2-2013,Manufacturing of Printer,N/a (field not yet included in 2013 reporting),Operations,578,No,No
20822-2-2013,Manufacturing of CRU,N/a (field not yet included in 2013 reporting),Operations,116,No,No
20822-2-2013,Use Electricity,N/a (field not yet included in 2013 reporting),Downstream,1430,No,No
20822-2-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,340,Yes,No
20822-2-2013,End of Life,N/a (field not yet included in 2013 reporting),Downstream,0,No,Yes
20822-2-2014,Packaging,Scope 3,Upstream,40,No,No
20822-2-2014,Other: Manufacturing of Printer,Scope 1 & 2,Operations,578,No,No
20822-2-2014,Other: Manufacturing of Customer Replacement Unit,Scope 1 & 2,Operations,116,No,No
20822-2-2014,Other: Use electricity,Scope 3,Downstream,1430,No,No
20822-2-2014,Transportation,"Scope 1, 2, & 3",Downstream,340,Yes,No
20822-2-2014,End of life/Final disposal,Scope 1 & 2,Downstream,-59,No,Yes
20822-2-2015,Packaging,Scope 3,Upstream,40,No,No
20822-2-2015,Other: Manufacturing of Printer,Scope 1 & 2,Operations,578,No,No
20822-2-2015,Other: Manufacturing of Customer Replacement Unit,Scope 1 & 2,Operations,116,No,No
20822-2-2015,Consumer use,Scope 3,Downstream,1430,No,No
20822-2-2015,Transportation,"Scope 1, 2, & 3",Downstream,340,Yes,No
20822-2-2015,Distribution,Scope 3,Downstream,-59,Yes,No
20822-2-2016,Packaging,Scope 3,Upstream,40,No,No
20822-2-2016,Other: Manufacturing of Printer,Scope 1 & 2,Operations,578,No,No
20822-2-2016,Other: Manufacturing of Customer Replacement Unit,Scope 1 & 2,Operations,116,No,No
20822-2-2016,Consumer use,Scope 3,Downstream,1430,No,No
20822-2-2016,Transportation,"Scope 1, 2, & 3",Downstream,340,Yes,No
20822-2-2016,Distribution,Scope 3,Downstream,-59,Yes,No
20822-3-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,90,No,No
20822-3-2013,Manufacturing of Printer,N/a (field not yet included in 2013 reporting),Operations,1970,No,No
20822-3-2013,Manufacturing of CRU,N/a (field not yet included in 2013 reporting),Operations,339,No,No
20822-3-2013,Use Electricity,N/a (field not yet included in 2013 reporting),Downstream,4130,No,No
20822-3-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,588,Yes,No
20822-3-2014,Packaging,Scope 3,Upstream,90,No,No
20822-3-2014,Other: Manufacturing of Printer,Scope 1 & 2,Operations,1970,No,No
20822-3-2014,Other: Manufacturing of Customer Replacement Unit,Scope 1 & 2,Operations,339,No,No
20822-3-2014,Other: Use electricity,Scope 3,Downstream,4119,No,No
20822-3-2014,Transportation,"Scope 1, 2, & 3",Downstream,572,Yes,No
20822-3-2015,Packaging,Scope 3,Upstream,90,No,No
20822-3-2015,Other: Manufacturing of Printer,Scope 1 & 2,Operations,1970,No,No
20822-3-2015,Other: Manufacturing of Customer Replacement Unit,Scope 1 & 2,Operations,339,No,No
20822-3-2015,Consumer use,Scope 3,Downstream,4119,No,No
20822-3-2015,Transportation,"Scope 1, 2, & 3",Downstream,572,Yes,No
20822-3-2016,Packaging,Scope 3,Upstream,90,No,No
20822-3-2016,Other: Manufacturing of Printer,Scope 1 & 2,Operations,1970,No,No
20822-3-2016,Other: Manufacturing of Customer Replacement Unit,Scope 1 & 2,Operations,339,No,No
20822-3-2016,Consumer use,Scope 3,Downstream,4119,No,No
20822-3-2016,Transportation,"Scope 1, 2, & 3",Downstream,572,Yes,No
20822-4-2014,Packaging,Scope 3,Upstream,78,No,No
20822-4-2014,Other: Manufacturing of Printer,Scope 1 & 2,Operations,109,No,No
20822-4-2014,Other: Manufacturing of Customer Replacement Unit,Scope 1 & 2,Operations,74,No,No
20822-4-2014,Other: Use Electricity,Scope 3,Downstream,1719,No,No
20822-4-2014,Transportation,"Scope 1, 2, & 3",Downstream,31,Yes,No
20822-4-2015,Packaging,Scope 3,Upstream,78,No,No
20822-4-2015,Other: Manufacturing of Printer,Scope 1 & 2,Operations,109,No,No
20822-4-2015,Other: Manufacturing of Customer Replacement Unit,Scope 1 & 2,Operations,74,No,No
20822-4-2015,Consumer use,Scope 3,Downstream,1719,No,No
20822-4-2015,Transportation,"Scope 1, 2, & 3",Downstream,31,Yes,No
20822-4-2016,Packaging,Scope 3,Upstream,78,No,No
20822-4-2016,Other: Manufacturing of Printer,Scope 1 & 2,Operations,109,No,No
20822-4-2016,Other: Manufacturing of Customer Replacement Unit,Scope 1 & 2,Operations,74,No,No
20822-4-2016,Consumer use,Scope 3,Downstream,1719,No,No
20822-4-2016,Transportation,"Scope 1, 2, & 3",Downstream,31,Yes,No
20822-5-2014,Material acquisition,Scope 1 & 2,Upstream,270,No,No
20822-5-2014,Production,Scope 1 & 2,Operations,43,No,No
20822-5-2014,Other: Use & Maintenance,"Scope 1, 2, & 3",Downstream,1600,No,No
20822-5-2014,End of life/Final disposal,Scope 3,Downstream,70,No,Yes
20822-5-2014,Distribution,"Scope 1, 2, & 3",Downstream,46,Yes,No
20822-5-2015,Material acquisition,Scope 1 & 2,Upstream,270,No,No
20822-5-2015,Production,Scope 1 & 2,Operations,43,No,No
20822-5-2015,Other: Consumer Use & Maintenance,"Scope 1, 2, & 3",Downstream,1600,No,No
20822-5-2015,End of life/Final disposal,Scope 3,Downstream,70,No,Yes
20822-5-2015,Distribution,"Scope 1, 2, & 3",Downstream,46,Yes,No
20822-5-2016,Material acquisition,Scope 1 & 2,Upstream,270,No,No
20822-5-2016,Production,Scope 1 & 2,Operations,43,No,No
20822-5-2016,Other: Consumer Use & Maintenance,"Scope 1, 2, & 3",Downstream,1600,No,No
20822-5-2016,End of life/Final disposal,Scope 3,Downstream,70,No,Yes
20822-5-2016,Distribution,"Scope 1, 2, & 3",Downstream,46,Yes,No
20822-6-2015,Material acquisition,Scope 1 & 2,Upstream,2710,No,No
20822-6-2015,Consumer use,Scope 3,Downstream,1140,No,No
20822-6-2015,"Other: Consumable Use (toner, and print cartridge – excludes paper)","Scope 1, 2, & 3",Downstream,290,No,No
20822-6-2015,Distribution,"Scope 1, 2, & 3",Downstream,73.9,Yes,No
20822-6-2015,End of life/Final disposal,Scope 3,Downstream,2.58,No,Yes
20822-6-2016,Material acquisition,Scope 1 & 2,Upstream,2710,No,No
20822-6-2016,Consumer use,Scope 3,Downstream,1140,No,No
20822-6-2016,"Other: Consumable Use (toner, and print cartridge – excludes paper)","Scope 1, 2, & 3",Downstream,290,No,No
20822-6-2016,Distribution,"Scope 1, 2, & 3",Downstream,72.9,Yes,No
20822-6-2016,End of life/Final disposal,Scope 3,Downstream,2.58,No,Yes
20822-7-2015,Material acquisition,Scope 1 & 2,Upstream,620,No,No
20822-7-2015,Production,Scope 1 & 2,Operations,34,No,No
20822-7-2015,Other: Consumer Use & Maintenance,"Scope 1, 2, & 3",Downstream,500,No,No
20822-7-2015,End of life/Final disposal,Scope 3,Downstream,99,No,Yes
20822-7-2015,Distribution,"Scope 1, 2, & 3",Downstream,50,Yes,No
20822-7-2016,Material acquisition,Scope 1 & 2,Upstream,620,No,No
20822-7-2016,Production,Scope 1 & 2,Operations,34,No,No
20822-7-2016,Other: Consumer Use & Maintenance,"Scope 1, 2, & 3",Downstream,500,No,No
20822-7-2016,End of life/Final disposal,Scope 3,Downstream,99,No,Yes
20822-7-2016,Distribution,"Scope 1, 2, & 3",Downstream,50,Yes,No
20822-8-2015,Material acquisition,Scope 1 & 2,Upstream,620,No,No
20822-8-2015,Production,Scope 1 & 2,Operations,34,No,No
20822-8-2015,Other: Consumer Use & Maintenance,"Scope 1, 2, & 3",Downstream,690,No,No
20822-8-2015,End of life/Final disposal,Scope 3,Downstream,99,No,Yes
20822-8-2015,Distribution,"Scope 1, 2, & 3",Downstream,50,Yes,No
20822-8-2016,Material acquisition,Scope 1 & 2,Upstream,620,No,No
20822-8-2016,Production,Scope 1 & 2,Operations,34,No,No
20822-8-2016,Other: Consumer Use & Maintenance,"Scope 1, 2, & 3",Downstream,690,No,No
20822-8-2016,End of life/Final disposal,Scope 3,Downstream,99,No,Yes
20822-8-2016,Distribution,"Scope 1, 2, & 3",Downstream,50,Yes,No
20822-9-2015,Material acquisition,Scope 1 & 2,Upstream,620,No,No
20822-9-2015,Production,Scope 1 & 2,Operations,34,No,No
20822-9-2015,Other: Consumer Use & Maintenance,"Scope 1, 2, & 3",Downstream,850,No,No
20822-9-2015,End of life/Final disposal,Scope 3,Downstream,99,No,Yes
20822-9-2015,Distribution,"Scope 1, 2, & 3",Downstream,50,Yes,No
20822-9-2016,Material acquisition,Scope 1 & 2,Upstream,620,No,No
20822-9-2016,Production,Scope 1 & 2,Operations,34,No,No
20822-9-2016,Other: Consumer Use & Maintenance,"Scope 1, 2, & 3",Downstream,850,No,No
20822-9-2016,End of life/Final disposal,Scope 3,Downstream,99,No,Yes
20822-9-2016,Distribution,"Scope 1, 2, & 3",Downstream,50,Yes,No
20871-1-2015,Material acquisition,Scope 3,Upstream,22.9,No,No
20871-1-2015,Production,Scope 1 & 2,Operations,8.6,No,No
20871-1-2015,Consumer use,Scope 3,Downstream,10.7,No,No
20871-1-2015,Transportation,Scope 3,Downstream,0.023,Yes,No
20871-1-2015,End of life/Final disposal,BLANK,Downstream,0.0066,No,Yes
20871-2-2015,Material acquisition,Scope 3,Upstream,0.235,No,No
20871-2-2015,Production,BLANK,Operations,0.018,No,No
20871-2-2015,Consumer use,Scope 3,Downstream,13.6,No,No
20871-2-2015,Transportation,Scope 3,Downstream,0.0011,Yes,No
20871-2-2015,End of life/Final disposal,BLANK,Downstream,0.0002,No,Yes
20871-5-2015,Material acquisition,Scope 3,Upstream,2.4,No,No
20871-5-2015,BLANK,Scope 3,Operations,0.061,No,No
20871-5-2015,BLANK,Scope 3,Operations,0.009,No,No
20871-5-2015,Consumer use,Scope 3,Downstream,0.03,No,No
20871-6-2015,Material acquisition,Scope 3,Upstream,8.26,No,No
20871-6-2015,Transportation,Scope 3,Downstream,0.011,Yes,No
20871-6-2015,Consumer use,Scope 3,Downstream,0.003,No,No
20871-6-2015,End of life/Final disposal,Scope 3,Downstream,0.002,No,Yes
20947-1-2014,Cradle to gate,Scope 3,Upstream,24,No,No
20947-1-2014,Production,Scope 1 & 2,Operations,7,No,No
20947-1-2014,Processing,Scope 3,Downstream,210.8,No,No
20947-1-2014,Recycling,Scope 3,Downstream,13.2,No,Yes
20947-1-2014,Transportation,Scope 3,Downstream,1.5,Yes,No
20947-1-2015,Cradle to gate,Scope 3,Upstream,39.6,No,No
20947-1-2015,Manufacturing,Scope 1 & 2,Operations,11.5,No,No
20947-1-2015,Consumer use,Scope 3,Downstream,210.8,No,No
20947-1-2015,End of life/Final disposal,Scope 3,Downstream,24.8,No,Yes
20947-1-2015,Transportation,Scope 3,Downstream,0.98,Yes,No
2135-1-2013,Feedstock,N/a (field not yet included in 2013 reporting),Upstream,1.08,No,No
2135-1-2013,Transport Feedstock,N/a (field not yet included in 2013 reporting),Upstream,0.006,Yes,No
2135-1-2013,Polymerization,N/a (field not yet included in 2013 reporting),Operations,0.22,No,No
2135-1-2013,Bagging,N/a (field not yet included in 2013 reporting),Operations,0.012,No,No
2135-2-2013,Feedstock,N/a (field not yet included in 2013 reporting),Upstream,1.16,No,No
2135-2-2013,Transport Feedstock,N/a (field not yet included in 2013 reporting),Upstream,0.0002,Yes,No
2135-2-2013,Production,N/a (field not yet included in 2013 reporting),Operations,0.16,No,No
2135-2-2013,Bagging,N/a (field not yet included in 2013 reporting),Operations,0.1,No,No
2135-3-2013,Feedsotck,N/a (field not yet included in 2013 reporting),Upstream,0.78,No,No
2135-3-2013,Polymerization,N/a (field not yet included in 2013 reporting),Operations,0.23,No,No
2135-3-2013,Bagging,N/a (field not yet included in 2013 reporting),Operations,0.01,No,No
2135-3-2013,Transport,N/a (field not yet included in 2013 reporting),Downstream,0.75,Yes,No
2156-1-2016,Material acquisition,Scope 3,Upstream,10.84,No,No
2156-1-2016,Manufacturing,Scope 1 & 2,Operations,4.58,No,No
2156-1-2016,Consumer use,Scope 3,Downstream,86.1,No,No
2156-1-2016,Other: End of life and recycling,Scope 3,Downstream,16.14,No,Yes
2156-1-2016,Distribution,Scope 3,Downstream,0.33,Yes,No
21673-1-2014,Material acquisition,Scope 1 & 2,Upstream,33.6,No,No
21673-1-2014,Assembly,Scope 1 & 2,Operations,1,No,No
21673-1-2014,Consumer use,Scope 3,Downstream,84.9,No,No
21673-1-2014,End of life/Final disposal,Scope 1 & 2,Downstream,6.9,No,Yes
21889-1-2014,Energy/Fuel,Scope 2,Operations,467.8,No,No
21889-1-2014,Cradle to gate,Scope 1,Operations,87.2,No,No
21889-1-2015,Energy/Fuel,Scope 2,Operations,373.6,No,No
21889-1-2015,Cradle to gate,Scope 1,Operations,77.9,No,No
22295-10-2015,Cradle to gate,Scope 3,Upstream,101,No,No
22295-10-2015,Production,Scope 1,Operations,451,No,No
22295-10-2015,Production,Scope 2,Operations,316,No,No
22295-10-2015,Transportation,Scope 3,Downstream,50,Yes,No
22295-11-2015,Cradle to gate,Scope 3,Upstream,101,No,No
22295-11-2015,Production,Scope 1,Operations,451,No,No
22295-11-2015,Production,Scope 2,Operations,316,No,No
22295-11-2015,Transportation,Scope 3,Downstream,50,Yes,No
22295-1-2013,Scope 3: Purchased materials,N/a (field not yet included in 2013 reporting),Upstream,127,No,No
22295-1-2013,Scope 1: Direct GHG emissions from sources that are owned/controlled by us,N/a (field not yet included in 2013 reporting),Operations,332,No,No
22295-1-2013,Scope 2: GHG emissions from the generation of purchased electricity.,N/a (field not yet included in 2013 reporting),Operations,93,No,No
22295-1-2013,Scope 3: Transportation,N/a (field not yet included in 2013 reporting),Downstream,45,Yes,No
22295-1-2015,Cradle to gate,Scope 3,Upstream,123,No,No
22295-1-2015,Production,Scope 1,Operations,382,No,No
22295-1-2015,Production,Scope 2,Operations,228,No,No
22295-1-2015,Transportation,Scope 3,Downstream,49,Yes,No
22295-12-2015,Cradle to gate,Scope 3,Upstream,101,No,No
22295-12-2015,Production,Scope 1,Operations,451,No,No
22295-12-2015,Production,Scope 2,Operations,316,No,No
22295-12-2015,Transportation,Scope 3,Downstream,50,Yes,No
22295-13-2015,Cradle to gate,Scope 3,Upstream,101,No,No
22295-13-2015,Production,Scope 1,Operations,451,No,No
22295-13-2015,Production,Scope 2,Operations,316,No,No
22295-13-2015,Transportation,Scope 3,Downstream,50,Yes,No
22295-14-2015,Cradle to gate,Scope 3,Upstream,101,No,No
22295-14-2015,Production,Scope 1,Operations,447,No,No
22295-14-2015,Production,Scope 2,Operations,302,No,No
22295-14-2015,Transportation,Scope 3,Downstream,50,Yes,No
22295-16-2016,Cradle to gate,Scope 3,Upstream,192,No,No
22295-16-2016,Production,Scope 1,Operations,381,No,No
22295-16-2016,Production,Scope 2,Operations,194,No,No
22295-17-2016,Cradle to gate,Scope 3,Upstream,179,No,No
22295-17-2016,Production,Scope 2,Operations,103,No,No
22295-17-2016,Production,Scope 1,Operations,87,No,No
22295-18-2016,Cradle to gate,Scope 3,Upstream,180,No,No
22295-18-2016,Production,Scope 2,Operations,331,No,No
22295-18-2016,Production,Scope 1,Operations,276,No,No
22295-19-2016,Cradle to gate,Scope 3,Upstream,196,No,No
22295-19-2016,Production,Scope 2,Operations,266,No,No
22295-19-2016,Production,Scope 1,Operations,72,No,No
22295-20-2016,Cradle to gate,Scope 3,Upstream,215,No,No
22295-20-2016,Production,Scope 1,Operations,388,No,No
22295-20-2016,Production,Scope 2,Operations,163,No,No
22295-21-2016,Cradle to gate,Scope 3,Upstream,209,No,No
22295-21-2016,Production,Scope 1,Operations,387,No,No
22295-21-2016,Production,Scope 2,Operations,169,No,No
22295-2-2013,Scope 3: Purchased materials,N/a (field not yet included in 2013 reporting),Upstream,127,No,No
22295-2-2013,Scope 2: GHG emissions from the generation of purchased electricity.,N/a (field not yet included in 2013 reporting),Operations,169,No,No
22295-2-2013,Scope 1: Direct GHG emissions from sources that are owned/controlled by us,N/a (field not yet included in 2013 reporting),Operations,132,No,No
22295-2-2013,Scope 3: Transportation,N/a (field not yet included in 2013 reporting),Downstream,54,Yes,No
22295-2-2015,Cradle to gate,Scope 3,Upstream,125,No,No
22295-2-2015,Production,Scope 2,Operations,322,No,No
22295-2-2015,Production,Scope 1,Operations,298,No,No
22295-2-2015,Transportation,Scope 3,Downstream,59,Yes,No
22295-23-2016,Cradle to gate,Scope 3,Upstream,215,No,No
22295-23-2016,Production,Scope 1,Operations,388,No,No
22295-23-2016,Production,Scope 2,Operations,163,No,No
22295-24-2016,Cradle to gate,Scope 3,Upstream,168,No,No
22295-24-2016,Production,Scope 2,Operations,326,No,No
22295-24-2016,Production,Scope 1,Operations,298,No,No
22295-25-2016,Cradle to gate,Scope 3,Upstream,196,No,No
22295-25-2016,Production,Scope 2,Operations,266,No,No
22295-25-2016,Production,Scope 1,Operations,72,No,No
22295-26-2016,Cradle to gate,Scope 3,Upstream,201,No,No
22295-26-2016,Production,Scope 1,Operations,382,No,No
22295-26-2016,Production,Scope 2,Operations,193,No,No
22295-3-2013,Scope 3: Purchased materials,N/a (field not yet included in 2013 reporting),Upstream,117,No,No
22295-3-2013,Scope 2: GHG emissions from the generation of purchased electricity,N/a (field not yet included in 2013 reporting),Operations,173,No,No
22295-3-2013,Scope 1: Direct GHG emissions from sources that are owned/controlled by us,N/a (field not yet included in 2013 reporting),Operations,135,No,No
22295-3-2013,Scope 3: Transportation,N/a (field not yet included in 2013 reporting),Downstream,54,Yes,No
22295-3-2015,Cradle to gate,Scope 3,Upstream,114,No,No
22295-3-2015,Production,Scope 2,Operations,331,No,No
22295-3-2015,Production,Scope 1,Operations,305,No,No
22295-3-2015,Transportation,Scope 3,Downstream,61,Yes,No
22295-4-2013,Scope 3: Purchased materials,N/a (field not yet included in 2013 reporting),Upstream,152,No,No
22295-4-2013,Scope 2: GHG emissions from the generation of purchased electricity,N/a (field not yet included in 2013 reporting),Operations,81,No,No
22295-4-2013,Scope 1: Direct GHG emissions from sources that are owned/controlled by us,N/a (field not yet included in 2013 reporting),Operations,77,No,No
22295-4-2013,Scope 3: Transportation,N/a (field not yet included in 2013 reporting),Downstream,49,Yes,No
22295-4-2015,Cradle to gate,Scope 3,Upstream,147,No,No
22295-4-2015,Production,Scope 2,Operations,266,No,No
22295-4-2015,Production,Scope 1,Operations,72,No,No
22295-4-2015,Transportation,Scope 3,Downstream,49,Yes,No
22295-5-2013,Scope 3: Purchased materials,N/a (field not yet included in 2013 reporting),Upstream,152,No,No
22295-5-2013,Scope 2: GHG emissions from the generation of purchased electricity,N/a (field not yet included in 2013 reporting),Operations,81,No,No
22295-5-2013,Scope 1: Direct GHG emissions from sources that are owned/controlled by us,N/a (field not yet included in 2013 reporting),Operations,77,No,No
22295-5-2013,Scope 3: Transportation,N/a (field not yet included in 2013 reporting),Downstream,49,Yes,No
22295-5-2015,Cradle to gate,Scope 3,Upstream,147,No,No
22295-5-2015,Production,Scope 2,Operations,266,No,No
22295-5-2015,Production,Scope 1,Operations,72,No,No
22295-5-2015,Transportation,Scope 3,Downstream,49,Yes,No
22295-6-2013,Scope 3: Purchased materials,N/a (field not yet included in 2013 reporting),Upstream,150,No,No
22295-6-2013,Scope 1: Direct GHG emissions from sources that are owned/controlled by us,N/a (field not yet included in 2013 reporting),Operations,135,No,No
22295-6-2013,Scope 2: GHG emissions from the generation of purchased electricity,N/a (field not yet included in 2013 reporting),Operations,55,No,No
22295-6-2013,Scope 3: Transportation,N/a (field not yet included in 2013 reporting),Downstream,58,Yes,No
22295-7-2013,Scope 3: Purchased materials,N/a (field not yet included in 2013 reporting),Upstream,134,No,No
22295-7-2013,Scope 1: Direct GHG emissions from sources that are owned/controlled by us,N/a (field not yet included in 2013 reporting),Operations,461,No,No
22295-7-2013,Scope 2: GHG emissions from the generation of purchased electricity,N/a (field not yet included in 2013 reporting),Operations,135,No,No
22295-7-2013,Scope 3: Transportation,N/a (field not yet included in 2013 reporting),Downstream,51,Yes,No
22295-8-2013,Scope 3: Purchased materials,N/a (field not yet included in 2013 reporting),Upstream,148,No,No
22295-8-2013,Scope 1: Direct GHG emissions from sources that are owned/controlled by us,N/a (field not yet included in 2013 reporting),Operations,459,No,No
22295-8-2013,Scope 2: GHG emissions from the generation of purchased electricity,N/a (field not yet included in 2013 reporting),Operations,133,No,No
22295-8-2013,Scope 3: Transportation,N/a (field not yet included in 2013 reporting),Downstream,51,Yes,No
22295-9-2013,Scope 3: Purchased materials,N/a (field not yet included in 2013 reporting),Upstream,134,No,No
22295-9-2013,Scope 1: Direct GHG emissions from sources that are owned/controlled by us,N/a (field not yet included in 2013 reporting),Operations,461,No,No
22295-9-2013,Scope 2: GHG emissions from the generation of purchased electricity,N/a (field not yet included in 2013 reporting),Operations,135,No,No
22295-9-2013,Scope 3: Transportation,N/a (field not yet included in 2013 reporting),Downstream,51,Yes,No
22379-1-2014,Material acquisition,Scope 3,Upstream,273,No,No
22379-1-2014,Packaging,Scope 3,Upstream,6,No,No
22379-1-2014,Manufacturing,Scope 1 & 2,Operations,23,No,No
22379-1-2014,Energy/Fuel,Scope 3,Operations,16,No,No
22379-1-2014,Transportation,Scope 3,Downstream,84,Yes,No
22379-1-2015,Material acquisition,Scope 3,Upstream,273,No,No
22379-1-2015,Packaging,Scope 3,Upstream,6,No,No
22379-1-2015,Manufacturing,Scope 1,Operations,23,No,No
22379-1-2015,Energy/Fuel,Scope 2,Operations,16,No,No
22379-1-2015,Transportation,Scope 3,Downstream,84,Yes,No
22645-1-2013,1.Major component suppliers stage:6.84,N/a (field not yet included in 2013 reporting),Upstream,6.84,No,No
22645-1-2013,3.LCD Array Cell manufacturing stage:2.88,N/a (field not yet included in 2013 reporting),Operations,2.88,No,No
22645-1-2013,4.LCD Module assembly stage:0.96,N/a (field not yet included in 2013 reporting),Operations,0.96,No,No
22645-1-2013,2.sales transport stage:1.32,N/a (field not yet included in 2013 reporting),Downstream,1.32,Yes,No
22710-1-2014,"Other: storage, transportation, manufacturing, packaging",Scope 3,Upstream,0.141,No,No
22710-1-2014,Production,Scope 2,Operations,0.0123,No,No
22710-1-2014,Production,Scope 1,Operations,0.005,No,No
22710-1-2014,Other: Losses of CO2 (product) during manufacturing,Scope 1,Operations,0.0013,No,No
22710-1-2014,Transportation,Scope 1,Downstream,0.007,Yes,No
22710-1-2014,Storage,Scope 1,Downstream,0.0007,No,No
22710-1-2015,"Other: Manufacturing, Packaging",Scope 3,Upstream,0.0607,No,No
22710-1-2015,Production,Scope 2,Operations,0.0131,No,No
22710-1-2015,Production,Scope 1,Operations,0.0048,No,No
22710-1-2015,Other: Losses of CO2 used for carbonation of the beverages during manufacturing.,Scope 1,Operations,0.0016,No,No
22710-1-2015,"Other: Electricity purchased for remote properties (Distribution centres, offices etc)",Scope 2,Operations,0.0006,No,No
22710-1-2015,"Other: Storage, transportation",Scope 3,Downstream,0.0715,Yes,No
22710-1-2015,Transportation,Scope 1,Downstream,0.0048,Yes,No
22710-1-2015,Storage,Scope 1,Downstream,0.0007,No,No
22710-1-2015,"Other: Fuel used in remote properties (Distribution centres, offices etc)",Scope 1,Downstream,0.0004,No,No
22710-1-2016,Other: Manufacturing & Packaging,Scope 3,Upstream,0.0622,No,No
22710-1-2016,Production,Scope 2,Operations,0.0102,No,No
22710-1-2016,Production,Scope 1,Operations,0.0039,No,No
22710-1-2016,Other: Losses of CO2 used for carbonation of the beverages during manufacturing.,Scope 1,Operations,0.0016,No,No
22710-1-2016,"Other: Electricity purchased for remote properties (Distribution centres, offices etc.)",Scope 2,Operations,0.0005,No,No
22710-1-2016,Other: Transportation & Storage,Scope 3,Downstream,0.0641,Yes,No
22710-1-2016,Transportation,Scope 1,Downstream,0.0041,Yes,No
22710-1-2016,Storage,Scope 1,Downstream,0.0005,No,No
22710-1-2016,"Other: Fuel used in remote properties (Distribution centres, offices etc.)",Scope 1,Downstream,0.0004,No,No
23195-10-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,2.5,No,No
23195-10-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,142,No,No
23195-10-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,149.7,No,No
23195-10-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,5.2,Yes,No
23195-10-2013,End-of-life,N/a (field not yet included in 2013 reporting),Downstream,3.4,No,Yes
23195-11-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,3.3,No,No
23195-11-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,166,No,No
23195-11-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,204.7,No,No
23195-11-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,7,Yes,No
23195-11-2013,End-of-life,N/a (field not yet included in 2013 reporting),Downstream,4.5,No,Yes
23195-12-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,4.9,No,No
23195-12-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,180,No,No
23195-12-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,271.4,No,No
23195-12-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,8.8,Yes,No
23195-12-2013,End-of-life,N/a (field not yet included in 2013 reporting),Downstream,4.6,No,Yes
23195-3-2013,Production,N/a (field not yet included in 2013 reporting),Operations,132,No,No
23195-3-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,145,No,No
23195-3-2013,End-of-life (negative emissions),N/a (field not yet included in 2013 reporting),Downstream,-8.7,No,Yes
23195-4-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,2.2,No,No
23195-4-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,153,No,No
23195-4-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,256,No,No
23195-4-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,7.4,Yes,No
23195-4-2013,End-of-life,N/a (field not yet included in 2013 reporting),Downstream,2,No,Yes
23195-5-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,3.8,No,No
23195-5-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,165,No,No
23195-5-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,304,No,No
23195-5-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,18.3,Yes,No
23195-5-2013,End-of-life,N/a (field not yet included in 2013 reporting),Downstream,5.4,No,Yes
23195-6-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,4.3,No,No
23195-6-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,155,No,No
23195-6-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,393,No,No
